Cultivated,Deciduous,Coniferous,Marshes,Peatbogs,Herbaceous,Water,Pixels,LocCode,River,Class,Built_up
0.0011580260110457866,0.7805095314448601,0.09380010689470872,0.05095314448601461,0.07286655977195795,6.235524674861928e-4,8.907892392659897e-5,11226,GO_27,GO,Stream,NA
0.0019402150679075274,0.5764411851754415,0.09822749843796244,0.10621855371764938,0.19102897168601402,0.010490315367161038,0.01565326054786412,30409,GO_28,GO,Stream,NA
0.018072289156626505,0.7891566265060241,0.012048192771084338,0.18072289156626506,NA,NA,NA,166,GO_29,GO,Stream,NA
NA,0.8243243243243243,0.1375921375921376,0.022113022113022112,0.01597051597051597,NA,NA,814,GO_3,GO,Stream,NA
0.004624974864267042,0.7486426704202694,0.08968429519404786,0.07701588578322945,0.0762115423285743,0.003217373818620551,NA,4973,GO_30,GO,Stream,6.032575909913533e-4
NA,0.4918648310387985,0.3541927409261577,0.02252816020025031,0.13141426783479349,NA,NA,799,GO_31,GO,Stream,NA
4.894163709776092e-4,0.9018720176189894,0.07010889514254252,0.012113055181695828,0.013458950201884253,0.0014682491129328276,4.894163709776092e-4,8173,GO_32,GO,Stream,NA
6.976744186046512e-4,0.7258139534883721,0.1630232558139535,0.027209302325581396,0.08162790697674419,0.0013953488372093023,2.3255813953488373e-4,4300,GO_33,GO,Stream,NA
0.003566108427752449,0.6625739177538031,0.24001263937164266,0.022209181600686138,0.06224890534013452,0.009118403827923983,2.70843678057148e-4,22153,GO_34,GO,Stream,NA
0.008839779005524863,0.6707182320441989,0.14033149171270717,0.028729281767955802,0.15138121546961325,NA,NA,905,GO_35,GO,Stream,NA
0.0014194464158978,0.7118523775727467,0.25337118523775726,0.0269694819020582,0.0049680624556423,0.0014194464158978,NA,1409,GO_36,GO,Stream,NA
0.02586002372479241,0.1309608540925267,0.5803084223013049,0.042941874258600236,0.19288256227758008,0.026334519572953737,7.117437722419929e-4,4215,GO_37,GO,Stream,NA
0.00285466054362666,0.6175996028298374,0.22750403375946382,0.02879483678788631,0.11716519796450292,0.005212858384013901,8.688097306689834e-4,8057,GO_38,GO,Stream,NA
0.010706638115631691,0.40450369551702703,0.35297368239276095,0.041445050770187196,0.177937417973337,0.011466464046418457,9.670511846377012e-4,14477,GO_39,GO,Stream,NA
0.0020249746878164025,0.36685791427607156,0.11846101923725953,0.17448531893351332,0.33378332770840363,0.003712453594330071,6.749915626054674e-4,5926,GO_4,GO,Stream,NA
0.004501184522242695,0.6668333772045275,0.21271387207159778,0.0339036588575941,0.07525664648591734,0.006528033693077125,1.579362990260595e-4,37990,GO_40,GO,Stream,1.05290866017373e-4
0.004157238330789875,0.6601589222754302,0.19207493553649424,0.04862390148923854,0.09424827658790717,6.314792401199811e-4,1.0524654001999685e-4,19003,GO_41,GO,Stream,NA
0.004312700023417376,0.5316524861447194,0.1923932557958005,0.07796034657716025,0.17438139099211614,0.009698696432753102,0.009601124034033253,51244,GO_42,GO,Stream,NA
0.013550135501355014,0.4010840108401084,0.15718157181571815,0.35501355013550134,0.06504065040650407,0.005420054200542005,0.0027100271002710027,369,GO_43,GO,Stream,NA
0.004339019669622361,0.5946887518566863,0.20859702029977045,0.05659630013053067,0.1242652023225458,0.00694063104829635,0.0045370662105594815,111085,GO_44,GO,Stream,3.6008461988567314e-5
NA,0.3142857142857143,0.37142857142857144,0.08571428571428572,0.22857142857142856,NA,NA,35,GO_45,GO,Stream,NA
0.005547337278106509,0.39386094674556216,0.4951923076923077,0.02625739644970414,0.07544378698224852,0.0025887573964497044,0.0011094674556213018,2704,GO_46,GO,Stream,NA
0.031423954031244386,0.39755790985814327,0.4180283713413539,0.06266834261088167,0.0881666367390914,0.0019752199676782187,1.795654516071108e-4,5569,GO_47,GO,Stream,NA
0.005602626805354642,0.5559612102286209,0.2519804367293518,0.054801650172594585,0.12113767001140426,0.0065210902160685175,0.003964700389581563,130653,GO_48,GO,Stream,3.061544702379586e-5
NA,0.4352044352044352,0.09748209748209748,0.18018018018018017,0.161007161007161,0.030492030492030493,0.09563409563409564,4329,GO_5,GO,Stream,NA
NA,0.21695257315842584,0.13521695257315844,0.33804238143289606,0.3067608476286579,0.0020181634712411706,0.0010090817356205853,991,GO_6,GO,Stream,NA
2.628811777076761e-4,0.231335436382755,0.15220820189274448,0.1587802313354364,0.416403785488959,0.03128286014721346,0.009726603575184017,3804,GO_7,GO,Stream,NA
0.0017825311942959,0.9001782531194296,0.044563279857397504,0.0392156862745098,0.0142602495543672,NA,NA,561,GO_8,GO,Stream,NA
0.001595405232929164,0.3866624122527122,0.11557115507338864,0.1639438417358009,0.28468410976388003,0.01780472239948947,0.029738353541799618,15670,GO_9,GO,Stream,NA
0.004206895650697012,0.5761574406744969,0.19978834872813264,0.08483470732461469,0.12007072462253346,0.011976152214717166,0.0026129786650292,229623,GO_1,GO,Catch,3.52752119778942e-4
