LocCode,AS_Coniferous,AS_Deciduous,AS_Deadwood,AS_Mixed,AS_Meadow,River,Class,AS_Clearcut,AS_Shrub
GO_12,0.034209424219855386,0.5757784531410822,0.004584560117529498,0.36386060661556513,0.0013208009713816104,GO,Catch,NA,NA
GO_13,0.01598690171415198,0.6349268452135712,0.08249705601740069,0.26317906545036013,NA,GO,Catch,NA,NA
GO_14,0.0016060816061295017,0.7816985431938576,0.016666660170512184,0.19787141516118334,NA,GO,Catch,NA,NA
GO_15,0.09706358188524195,0.5532827918319081,0.059957769734610845,0.2487422124887719,0.012726872425602385,GO,Catch,NA,NA
GO_16,NA,0.3748325912806207,NA,0.6251674087242106,NA,GO,Catch,NA,NA
GO_17,3.1694168015906694e-5,0.3001502868556015,0.0037311402645378014,0.6960868787150889,NA,GO,Catch,NA,NA
GO_18,0.020236093315271066,0.40703579313535493,0.0031872446971498167,0.5562551345728619,0.0012393534394191665,GO,Catch,NA,NA
GO_19,0.05880583101439811,0.7195464106698136,0.004732497801197833,0.21190179983271695,NA,GO,Catch,NA,NA
GO_2,3.266124418755128e-6,0.1577058788817935,NA,0.8422908549923551,NA,GO,Catch,NA,NA
GO_20,0.015157428402707568,0.4656659305766688,0.003265912766932691,0.5067870065973574,6.805192019940953e-4,GO,Catch,NA,NA
GO_21,NA,0.9018651426744428,NA,0.09358024210916584,NA,GO,Catch,NA,NA
GO_22,0.024928760947436252,0.25206073339417595,0.007731874072409219,0.7087861837392669,0.001991136402628965,GO,Catch,NA,NA
GO_23,0.01920794964168416,0.7432919978809466,0.016137027250826656,0.21884714892355425,NA,GO,Catch,NA,NA
GO_24,0.023481630708941954,0.6950345381763975,NA,0.28148383110923353,NA,GO,Catch,NA,NA
GO_25,0.13838587589638088,0.5404375813127409,0.03508432931063697,0.2828086089452503,NA,GO,Catch,NA,NA
GO_26,0.051622185704988256,0.04213133147086769,0.0075900186482885405,0.8986564641698006,NA,GO,Catch,NA,NA
GO_27,0.021674131260171828,0.40148663604902224,0.0028486406142360105,0.5615927324939421,0.0011148846018143937,GO,Catch,NA,NA
GO_28,0.06869585153757655,0.511576181745733,0.047847249923612264,0.34451072397458826,0.008454493108653158,GO,Catch,NA,NA
GO_29,NA,0.03314896132801945,NA,0.966851038667595,NA,GO,Catch,NA,NA
GO_3,0.04258090169959048,0.6703195200758415,NA,0.26619688587392276,0.0030509204069661885,GO,Catch,NA,NA
GO_30,0.02112574632595635,0.41186073916415605,0.0077463377164808484,0.5458463054042907,0.0010885448374238062,GO,Catch,NA,NA
